adjudicate,v.,"裁定, 宣判","The judge will adjudicate the dispute between the two corporations."
baleful,adj.,邪恶的，不吉利的,"He gave me a baleful look before storming out of the room."
chastise,v.,谴责,"The manager had to chastise the employee for repeatedly arriving late."
codify,v.,整理,"The new committee aims to codify the various local laws into one clear document."
coin,v.,发明（一个新词）,"Shakespeare is known to have coined many words that we still use today."
compunction,n.,"后悔感, 犯罪感","The thief stole the old woman's purse without the slightest compunction."
conform,v.,"符合, 遵守","All students must conform to the school's strict dress code."
contour,n.,轮廓,"The artist carefully drew the contour of the mountains in the distance."
derivative,adj.,非原创的,"The critic dismissed the novel as highly derivative and lacking originality."
disapprobation,n.,不赞成；非难,"She braved her parents' disapprobation to pursue a career in acting."
disdain,v.,"蔑视, 鄙视","The arrogant aristocrat disdained the commoners who lived outside the castle."
dissipate,v.,使...消散,"The morning fog began to dissipate as the sun rose higher in the sky."
eject,v.,"驱逐, 逐出","The unruly fan was ejected from the stadium by the security guards."
elude,v.,"逃跑, 逃避","The clever fox managed to elude the hunters once again."
entreaty,n.,恳求,"Despite his desperate entreaties, she refused to forgive him."
episodic,adj.,暂时的,"His memories of the childhood accident were highly episodic and fragmented."
finger,v.,指出,"The witness fingered the tall man as the one who robbed the bank."
fleeting,adj.,短暂的,"She caught a fleeting glimpse of a shooting star before it vanished."
glean,v.,慢慢收集,"The researchers were able to glean some valuable insights from the messy data."
illuminate,v.,阐述清楚,"The professor used several excellent examples to illuminate the complex theory."
incipient,adj.,开始的,"We could hear the incipient rumblings of a thunderstorm approaching."
indefatigable,adj.,不知疲倦的,"The indefatigable volunteers worked all night to rescue the flood victims."
indispensable,adj.,不可缺少的,"A good dictionary is an indispensable tool for anyone learning a new language."
like-minded,adj.,"思维相似的, 想法一致的","He joined the book club hoping to meet other like-minded individuals."
malady,n.,疾病,"The doctors were baffled by the strange malady that had struck the remote village."
malign,adj.,"邪恶的, 恶毒的","She felt a malign presence in the dark, abandoned house."
manipulate,v.,操控,"The skilled politician knew exactly how to manipulate the media to his advantage."
misuse,v.,不公平地对待,"The corrupt official misused his power to enrich his own family."
mitigate,v.,减缓,"The government announced new measures to mitigate the effects of the severe drought."
moonshine,n.,"空话, 假话","Don't listen to him; his promises of easy wealth are pure moonshine."
object,v.,反对,"Several residents objected to the construction of a new highway near their homes."
objective,adj.,客观的,"A judge must remain completely objective and put aside personal biases."
obviate,v.,免除,"The new medical treatment obviates the need for invasive surgery."
ominous,adj.,不吉利的,"The dark, ominous clouds gathered on the horizon just before the storm broke."
orator,n.,演讲者,"Martin Luther King Jr. was a masterful orator who could inspire millions."
patent,adj.,明显的,"His explanation was a patent lie, as everyone in the room already knew the truth."
pervasive,adj.,普遍的,"The pervasive influence of smartphones has completely changed how people interact."
pessimistic,adj.,悲观的,"She had a pessimistic view of the future and fully expected the economy to crash."
plead,v.,辩护,"The defendant's lawyer will plead his case in front of the jury tomorrow morning."
prepossessing,adj.,有吸引力的,"He was a remarkably prepossessing young man with a charming smile and good manners."
proclivity,n.,"倾向, 偏好","The child showed an early proclivity for music and learned to play the piano quickly."
progeny,n.,"子孙, 后裔","The billionaire left his entire fortune to his numerous progeny."
prosaic,adj.,普通寻常的,"After traveling the world for a year, his life back in the small town seemed rather prosaic."
rationale,n.,理由,"The CEO carefully explained the rationale behind the sudden decision to merge with their rival."
recipe,n.,"秘诀, 方法","Hard work and perseverance are often cited as the ultimate recipe for success."
reiterate,v.,重复强调,"The teacher had to reiterate the instructions because half the class wasn't listening."
resurgence,n.,复苏,"There has been a recent resurgence of interest in vintage film cameras."
retention,n.,保留,"The company offered higher salaries and better benefits to improve employee retention."
rhetorical,adj.,有说服力的,"The politician's speech was full of rhetorical flair, but it completely lacked substantial policies."
sagacious,adj.,"聪明的, 睿智的","The sagacious old man offered advice that proved to be incredibly valuable over the years."
stale,adj.,不新鲜的,"The bread had been left on the counter for days and was now completely stale."
stilted,adj.,"不自然的, 僵硬的","The dialogue in the movie felt stilted and lacked genuine emotion."
temerity,v. ,鲁莽,"He had the temerity to ask for a promotion after arriving late every day this week."
testing,adj.,费力的,"The final exam proved to be a highly testing experience for all the students."
trammel,v.,"阻碍, 限制自由","The new regulations will trammel the growth of local small businesses."
uprising,n.,"起义, 叛乱","The oppressive government quickly moved to crush the armed uprising."
vacillate ,v.,犹豫不决,"She continued to vacillate between accepting the job offer and staying at her current company."
volatile,adj.,性格多变的,"His volatile temper made everyone in the office feel like they had to walk on eggshells."
wholesome,adj.,有益健康的,"The farm offers wholesome organic produce that is free from harmful pesticides."
wondrous,adj.,奇异的,"The child stared at the wondrous display of lights and colors illuminating the night sky."
abound,v.,"富于, 充满","Rumors abound that the CEO is planning to step down next month."
acquisitive,adj.,贪婪的,"We live in an acquisitive society where people are constantly urged to buy more."
acquittal,n.,宣告无罪,"The lack of concrete evidence led to the swift acquittal of the defendant."
adulterate,v.,掺假,"The unscrupulous merchant tried to adulterate the pure olive oil with cheaper vegetable oil."
ascertain,v.,查明,"The detective conducted several interviews to ascertain the truth about what happened that night."
boorish,adj.,"粗鲁的, 粗野的","His boorish behavior at the dinner table highly offended the other guests."
bulwark,n.,"堡垒, 壁垒","The independent press serves as a vital bulwark against government corruption."
bungle,v.,搞砸,"The contractor managed to bungle the entire renovation project through sheer incompetence."
canard,n.,谣言,"The claim that the company is going bankrupt is nothing but a malicious canard."
clumsy,adj.,笨拙的,"The clumsy waiter accidentally spilled a tray of hot drinks all over the customers."
conceal,v.,隐藏,"She wore large sunglasses to conceal her tired eyes from the paparazzi."
concise,adj.,简洁的,"Please make sure your summary report is clear, accurate, and concise."
concoct,v.,"编造, 捏造","The student tried to concoct an elaborate excuse for why his homework was missing."
contemporary,adj.,"当代的, 现代的","The museum features an impressive collection of contemporary art from local artists."
corporeal,adj.,"肉体的, 有实体存在的","The ghost was described as a restless spirit lacking any corporeal form."
culprit,n.,"罪犯, 罪魁祸首","After investigating the data leak, they found that a simple software bug was the culprit."
detached,adj.,"不受感情影响的, 公正的","A good journalist must try to maintain a detached perspective when reporting the news."
detritus,n.,"碎石, 残余物","The street was littered with the detritus of the parade that had passed through earlier."
dilapidate,v. ,使...破败,"Years of neglect allowed the once grand mansion to dilapidate into a complete ruin."
discriminatory,adj.,"不公平的, 歧视的","The company was sued for its discriminatory hiring practices against older workers."
encroach,v.,侵占,"The expanding suburbs continue to encroach upon the natural habitats of local wildlife."
exacting,adj.,要求高的,"The head chef is known for his exacting standards and demands perfection from his kitchen staff."
exhaustive,adj.,全面的,"The committee published an exhaustive report detailing every single aspect of the incident."
feasible,adj.,可行的,"Building a bridge across that wide river is technically possible, but it is not economically feasible."
fetishize,v.,把…当成神物而崇拜,"Critics argue that the fashion industry tends to fetishize youth and extreme thinness."
figurative,adj.,（形象化）比喻的,"She used the word 'explode' in a figurative sense to describe her sudden burst of anger."
forthcoming,adj.,直白的,"The manager was remarkably forthcoming about the financial difficulties the company was facing."
futile,adj.,无用的,"All attempts to convince him to change his stubborn mind proved completely futile."
guesswork,n. ,猜测,"Without access to the actual sales data, any predictions for next quarter are pure guesswork."
homogeneous,adj.,"同种的, 相似的","The neighborhood has a highly homogeneous population, with most residents sharing similar cultural backgrounds."
humor,n.,幽默,"His dry sense of humor often caught people off guard during serious business meetings."
imperative,adj.,重要的,"It is imperative that we find a viable solution to this problem before Friday's deadline."
irk,v.,使…厌烦,"It always irks her when people constantly interrupt her while she is speaking."
kinfolk,n.,亲戚,"Every summer, she travels down south to spend a few weeks visiting her kinfolk."
layperson,n.,外行,"The manual was written in simple terms so that a complete layperson could easily understand it."
list,n.,倾斜,"The damaged ship took on a dangerous list to the port side as water flooded the hull."
oxymoron,n.,矛盾修饰法,"The phrase 'deafening silence' is a classic literary example of an oxymoron."
pendulum,n.,（局势）摇摆不定,"In politics, the pendulum of public opinion often swings drastically from one extreme to the other."
prospect,n.,前景,"The prospect of spending another entire year in this dull town filled him with absolute dread."
quiver,v.,战栗,"The dog began to quiver with fear as the loud thunder shook the small house."
rampant,adj.,广泛的
redolent,adj.,芬芳的
reproach,v.,"斥责, 批评"
sartorial,adj.,与衣服相关的
scuffle,v. ,扭打
slight,v.,轻视
sober,adj.,严肃认真的
solitary,adj.,单独的
sycophantic,adj.,奉承的
telling,adj.,"有说服力的, 有影响力的"
thrill,v.,使...兴奋
undo,v.,撤销
unidimensional,adj.,肤浅的
usage,n.,对待方式
usher,v.,引领....进入
veneer,n.,虚饰或虚伪的外表
xenophobic,adj. ,"排外的, 仇视外国的"
adjuration,n.,恳求
anneal,v.,加固
ascetic,adj.,生活朴素的
belabor,v.,批评
bootless,adj.,无用的
caricature,n.,讽刺画
chicanery,n.,"欺骗, 诡计"
commensurate,adj.,"相等的, 相似的"
corrosive,adj.,（言语）讽刺的，挖苦的
disengage,v.,使解脱
dismantle,v.,拆开
elate,v. ,"使兴奋, 使高兴"
electorate,n.,选举人
enigmatic,adj.,难懂的
entangle,v.,纠缠
falsify,v.,"篡改, 伪造"
feat,n.,（彰显技艺等的）成就
frivolous,adj.,无关紧要的
gadfly,n.,讨人厌的人
glum,adj.,悲伤的
gregarious,v.,群居的，好交际的
gridlock,n. ,交通堵塞
harrow,v.,"折磨, 使...痛苦"
herald,n.,前兆
impassioned,adj.,充满激情的
impotent,adj.,"无力的, 无效的"
indeterminate,adj.,不确定的
inestimable,adj.,无法估量的
inextricable,adj.,"纠缠不清的, 无法解脱的"
inhale,v.,吸入
jubilant,adj.,喜悦的
laborious,adj.,费力的
makeshift,n.,权宜之计
methodology,n.,方法论
obliterate,v.,"抹去, 使...消失"
passage,n.,(事物从一个状态到另一个状态的)转变
peculiar,adj.,不寻常的
perspicuous,adj. ,"清晰的, 易懂的"
platitude ,n.,陈词滥调
prolific,adj.,多产的
prolix,adj.,冗长的
rancor,n.,憎恨
redundant ,adj.,"重复的, 冗余的, 赘述的"
renounce,v.,"拒绝, 否认"
repudiate,v.,"否认, 拒绝"
repugnant,adj.,令人厌恶的
scribble,v.,草率地写画
seethe,v.,"强压怒火, 生闷气"
shorthand,n.,速记
slinky,adj.,鬼鬼祟祟的
stoic,adj.,不以苦乐为意的，淡泊的
surmount,v.,"克服, 战胜"
synchronous,adj.,同时的
totalitarianism,n.,极权主义
touchstone,n.,检验标准
tranquil,adj.,安静的
truism,n., 真理
unremitting,adj.,"坚持不懈的，不间断的
"
unsparing,adj.,"无情的, 苛求的"
vulnerable,adj.,易受伤害的
aback,adv.,吃惊地
agonize,v.,感到痛苦，挣扎
benign,adj.,无害的
betray,v.,（无意中）显露
boost,v.,"增加, 促进"
censure,v.,指责
chivalrous,adj.,勇敢的
content,adj.,满足的
conviction,n. ,信念
corroborate,v.,"佐证, 提供证据证明"
course,n.,过程
dispense,v.,"分配, 分发"
disreputable,"adj, ",声明狼藉的
dolorous,adj.,悲伤的
emblematic,adj.,"象征的, 代表的"
epitome,n.,典型
erstwhile,adv.,过去地
ethereal,adj.,虚无的
expansionist,n.,扩张主义者
exuberant ,adj.,过量的
flee,v.,"逃脱, 逃跑"
flippant,adj.,"轻率无礼的, 不严肃的"
forbear,v.,"克制, 忍耐"
hail,n.,欢呼，赞美
high-minded,adj.,高尚的
introspect,v. ,自省
lenient,adj.,宽容的
level-headed,adj.,头脑清晰冷静的
malleable,adj.,易适应的，能适应的
notwithstanding,prep.,尽管
obeisance,n.,"尊敬, 敬意"
obsess,v.,沉迷于…
overweening,adj.,傲慢的，自负的
people,v.,充满
periodical,adj.,周期的
pitfall,n.,陷阱
precocious,adj.,早熟的
prodigious,adj., 惊人的
profit-monger,n.,贪婪的人
project,v.,投掷
provisional,adj.,临时的
puerile,adj.,"稚嫩的, 幼稚的"
purposeful,adj.,"有目的的, 故意的"
refractory,adj.,不服管的，难处理的
rile,v.,使...生气
rivalry ,n.,"竞争, 对抗"
rummage ,v.,仔细检查
sequel,n.,后续，后果
snare,n.,陷阱
suffrage,n.,选举权
supplicate,v.,恳求
tumultuous,adj.,混乱的
unearth,v.,揭露
unseemly,adj.,不得体的
unwitting,adj.,不知情的
yield,v.,"投降, 屈服"
accommodate,v.,调解
anachronism,n.,时代错乱
avert,v. ,阻止
brazen,adj.,"厚颜无耻的, 臭不要脸的"
buoyant,adj.,愉悦的
cinch,n. ,容易的事
circumspect,adj.,谨慎的
commence,v.,开始
conciliatory,adj.,"安抚的, 调和的"
contravene,v.,违反
covet,v. ,渴求
debunk,v.,"拆穿, 揭露… 的错误"
decelerate,v.,减缓
decimate,v.,（严重地）破坏
declamatory,adj.,"演说般的, 慷慨激昂的"
deference,n.,（因地位高或年长而）尊敬
deliberate,v.,深思熟虑
deprecate,v.,贬损，诋毁
dismissive,adj.,"轻视的, 无视的"
dispassionate,adj.,客观的
divination,n.,"预言, 占卜"
divulge,v.,泄露
ebb,v.,衰落
expel,v.,驱逐
fulminate,v.,"抨击, 辱骂"
genial,adj.,友好的
grant,v.,承认
gut,n.,内心深处
hagiography,n.,(夸大的）传记
heresy,n. ,与主流观点相悖的观点
hew,v.,遵守
impeccable,adj.,完美无瑕的
individualism,n.,个人主义
intermittent,adj. ,间歇的，断断续续的
jovial,adj.,高兴
marginal,adj.,"边缘的, 不重要的"
millstone,n.,重担
misconception,n.,"误解, 错觉"
morbid,adj.,不健康的
overdue,adj.,"延误的, 拖延的"
presage,v.,"预测, 预言"
pretentious,adj.,炫耀的
progenitor,n.,先驱
row,n.,(多人之间的)争吵
seemly,adj.,好看的
skew,v.,"歪曲, 曲解"
succumb,v.,屈服
surly,adj.,傲慢的，粗暴的
underpin,v. ,"支持, 支撑"
volume,n.,音量
weighty,adj.,重要的
yore,n.,很久以前
abstemious,adj.,生活节制的
ambiguous,adj.,"有歧义的, 模糊不清的"
apathetic,adj.,漠不关心的
boisterous,adj.,吵闹的
brusque,adj.,"唐突的, 无礼的"
calculable,adj.,可计算的
clownish,adj.,"小丑般的, 滑稽的"
convulsion,n.,"骚乱, 动乱"
countenance,v. ,赞同
cunning,adj.,狡猾机智的
deflate,v.,"使...泄气, 使...挫败"
dejected,adj.,沮丧的
delineate,v.,描绘轮廓
dishearten,v.,使...士气低落
embargo,n.,贸易禁令
emergent ,adj.,新兴的
expiation,n.,赎罪
finesse,n.,技巧高超
grudge,v.,不愿给予或承认
hamstring,v.,损坏
hiatus,n.,间歇
impute,v.,"归罪于, 归咎于"
